Name,Arabic Name,Variant,Content
Aabida,عَابِدَة,N/A,"Aabida is an indirect Quranic name for girls that means “worshiper”, “one who worships Allah”. It is derived from the AIN-B-D root which is used in many places in the Quran."
Aabira,عَابِرَة,N/A,"Aabira is an indirect Quranic name for girls that means “passing by”, “crossing”, “travelling on a road”, “one who interprets dreams/books”. It is derived from the AIN-B-R root which is used in many places in the Quram."
Aadila,عَادِلَة,N/A,"Aadila is an indirect Quranic name for girls that means “one who acts with justice and fairness”, “moderate”, “virtuous”, “excellent in character”. It  is derived from the AIN-D-L root which is used in many places in the Quran."
Aafa,عَافَة,N/A,"Aafa is an indirect Quranic name for girls that means “forgiver”, “pardoner”. It is derived from the AIN-F-A root which is used in many places in the Quran."
Aafira,عافرة,N/A,"Aafira is an indirect Quranic name for girls that means “one who waters a plant for the first time”, a person who gives the first water to a seed or plant that has just been put in the soil."
Aafiya,عَافِيَة,N/A,"Aafiya is an indirect Quranic name for girls that means “health”, “freedom from illness”. It is derived from the AIN-F-A (to forgive, to cure) which is used in many places in the Quran."
Aakifah,عَاكِفَة,N/A,"Aakifah is an indirect Quranic name for girls that means “woman who stays at the mosque to worship Allah”, “woman who stays away from people to dedicate herself to Allah”, a woman who is like Maryam (Mary), mother of Jesus, peace be upon them, who dedicates herself to Allah. Aakifah is derived from the AIN-K-F root which is used in many places in the Quran."
Aalifa,N/A,N/A,"Arabic for “kind”, “compassionate”, “friendly”."
Aamira,عَامِرَة,N/A,"Aamira is an indirect Quranic name for girls that means “prosperous”, “full of life”, “one who has a long and prosperous life”. It is derived from the AIN-M-R root (“lifetime”, “to inhabit and enliven”) which is used in many places in the Quran."
Aana,آناء,N/A,"Arabic for “moments”, “hours of the night”."
Aaneseh,آنسه,N/A,"Aaneseh is the Persian variant of the Arabic girl name Anisah which means “virtuous woman”, “miss”, “eloquent woman”."
Aaqilah,عَاقِلَة,N/A,"Aaqilah is an indirect Quranic name for girls that means “wise”, “discerning”, “sensible”, “reasonable”. It is derived from the AIN-Q-L root which is used in many places in the Quran."
Aaribah,آرِبْة,N/A,"Aaribah is an indirect Quranic name for girls that means “winner”. It is derived from the A-R-B root (need, intelligence) which is used in the Quran in a number of places."
