Name,Arabic Name,Variant,Content
Aabid,عَابِد,N/A,"Aabid is a direct Quranic name for boys that means “worshiper”, “one who worships Allah”. It is used in verse 109:4 of the Quran."
Aabidullah,عَابِدُ الله,N/A,"Aabidullah is an indirect Quranic name for boys that means “worshiper of Allah”, it is formed from Aabid (“worshiper”) and Allah (“God”), both which are Quranic words."
Aabir,عَابِر,N/A,"Aabir is an indirect Quranic name for boys that means “passing by”, “crossing”, “travelling on a road”, “one who interprets dreams/books”. It is derived from the AIN-B-R root which is used in many places in the Quram."
Aabis,عَابِس,N/A,"Aabis is an indirect Quranic name for boys that means “grim-faced”, “fierce-faced”. Aabis is the name of a number of companions of the Prophet ﷺ, such as Aabis al-Ghaffari and Aabis bin Rabeea. It is derived from the AIN-B-S root which is used in many places in the Quran."
Aadil,عَادِل,N/A,"Aadil is an indirect Quranic name for boys that means “one who acts with justice and fairness”, “moderate”, “virtuous”, “excellent in character”. It  is derived from the AIN-D-L root which is used in many places in the Quran."
Aaf,عَاف,N/A,"Aaf is an indirect Quranic name for boys that means “forgiver”, “pardoner”. It is derived from the AIN-F-A root which is used in many places in the Quran."
Aafiq,آفِق,N/A,"Aafiq is an indirect Quranic name for boys that means “one who has reached the pinnacle (highest point) of grace, generosity or knowledge”. It is derived from the A-F-Q root that literally means “periphery” and commonly refers to the horizon, because a point on the horizon is the most distant point from the center of the sky that can be seen, and the meaning of Aafiq comes from the notion that such a person has reached the farthest point of grace or knowledge, and thus they have more of it than anyone else."
Aaidun,عَائِدون,N/A,Aaidun is an Arabic name for boys that means “[those who are] returning”.
Aakif,عَاكِف,N/A,"Aakif is a direct Quranic name for boys that means “one who stays at the mosque to worship Allah”, “one who stays away from people to dedicate himself to Allah”.  Below is an example of a verse from the Quran that mentions the word Aakif:"
Aala,أَعْلى,N/A,"Aala is a direct Quranic name for boys that means “supreme”, “exalted”, “high in status”. It is derived from the AIN-L-A root which is used in many places in the Quran. The name Aala is different than the name Alaa, even though come from the same root and have similar meanings. While the emphasis in Aala is on the first syllable, the emphasis in Alaa is on the second syllable, and while Aala is a direct Quranic name, Alaa is indirect."
Aali,عَالِي,N/A,"Aali is a direct Quranic name for boys that means “lofty”, “sublime”, “most high”, “exalted”. Is derived from the AIN-L-A root which is used in many places in the Quran."
Aalif,N/A,N/A,"Arabic for “kind”, “compassionate”, “friendly”."
Aamin,آمن,N/A,"Arabic for “safe”, “secure”, “unharmed”, “harmless”."
Aamir,عَامِر,N/A,"Aamir is an indirect Quranic name for boys that means “prosperous”, “full of life”, “one who has a long and prosperous life”. It is derived from the AIN-M-R root (“lifetime”, “to inhabit and enliven”) which is used in many places in the Quran."
Aarib,آرِبْ,N/A,"Aarib is an indirect Quranic name for boys that means winner. It is derived from the A-R-B root (need, intelligence) which is used in the Quran in a number of places."
Aariz,عارض,N/A,Aariz is a direct Quranic name for boys that means “rain-bearing cloud”. The word Aariz is used twice in the same verse in Quran 46:24.
Aasir,آسِر,N/A,"Aasir is an indirect Quranic name for boys that means “captivator”, one who captivates one’s attention, or a powerful warrior who can overcome and imprison enemies. It is derived from the A-S-R root which is used in many places in the Quran."
Aati,عاطي,N/A,"Arabic for “giver”, “bestower”."
Aatif,عَاطِف,N/A,"Aatif is an Arabic name for boys that means “affectionate”, “sympathetic”."
Aazam,أعظم,N/A,"Arabic for “greatest”, “mightiest”."
Aazz,أعزّ,N/A,"Arabic for “mightiest”, “strongest”, “dearest”."
Ababil,أبَابِيل,N/A,"Arabic for “flocks”, “crowds”, “bundles”, “groups”."
Abbad,عَبَّاد,N/A,"Abbad is an indirect Quranic name for boys that means “servant of Allah”, “worshiper of Allah”. It is derived from the AIN-B-D root which is used in many places in the Quran."
Abbas,عَبَّاس,N/A,"Abbas is an indirect Quranic name for boys that means “lion”. It is the name of many companions of Prophet Muhammad  ﷺ, including Abbas bin Abdulmutallib, uncle of the Prophet and an important figure in Islamic history. Abbas is derived from the AIN-B-S (grim) root which is used in many places in the Quran."
Abbood,عَبُّوْد,N/A,"Abbood is an indirect Quranic name for boys that means “servant of Allah”, “worshiper of Allah”. It is derived from the AIN-B-D root which is used in many places in the Quran."
Abda,عَبْدَة,N/A,"Arabic for “strength”, “power”, and the name of a brave warrior from Islamic history (Abda bin Yazid bin Amr). Even though this name ends with an “a” which would make it sound like a girl’s name, it is actually a male name, similar to Hamza."
Abdaal,أَبْدَال,N/A,"Abdaal is an indirect Quranic name for boys that refers to people who strive to improve the world and bring good things and blessings to people. Abdaal literally means “replacements”, “exchanged ones”, it refers to the concept that Allah gives success to good people and whenever a good person dies there is always another good person to replace him/her, so that good people never become extinct. Abdaal is derived from the B-D-L root which is used in many places in the Quran."
Abdar,أبْدَرٌ,N/A,"Abdar is an indirect Quranic name for boys that means “early”, “quick”, “full moon”. It is derived from the B-D-R root which is used in the Quran in verse 3:123 in the word Badr, which means “full moon” and is the name of a famous battle."
Abdul Aakhir,عَبْدُ الآخِر,N/A,"Abdul Aakhir is an indirect Quranic name for boys that means “servant of Last One” (the One who remains when all things have faded away), which means “servant of Allah” as al-Aakhir is one of the names of Allah in Islam."
Abdul Aala,عَبْدُ الأَعْلَى,N/A,"Abdul Aala is an indirect Quranic name for boys that means “servant of the Most High”, which means “servant of Allah as al-Aala is one of the names of Allah in Islam."
Abdul Afuw,عَبْدُ العَفُوّ,N/A,"Abdul Afuw is an indirect Quranic name for boys that means “servant of the Pardoning”, which means “servant of Allah” as al-Afuw is one of the names of Allah in Islam."
Abdul Ahad,عبد الأحد,N/A,"Abdul Ahad is an indirect Quranic name for boys that means “servant of al-Ahad“, al-Ahad being one of the names of Allah subhanahu wa taala. The literal meaning is “servant of the Unique One”. The name is formed from Abd (servant) and Ahad (one, unique), both which are direct Quranic words. But since the two words are not mentioned next to each other anywhere in the Quran, we consider Abdul Ahad an indirect Quranic name."
Abdul Akram,عَبْدُ الكَرِيْم,N/A,"Abdul Akram is an indirect Quranic name for boys that means “servant of Most Bountiful One”, which means “servant of Allah” as al-Akram is one of the names of Allah in Islam."
Abdul Aleem,عَبْدُ العَلِيْم,N/A,"Abdul Aleem is an indirect Quranic name for boys that means “servant of the Most Knowing One”, meaning “servant of Allah”, as Aleem is one of the names of Allah."
Abdul Awwal,عَبْدُ الأَوَّل,N/A,"Abdul Awwal is an indirect Quranic name for boys that means “servant of the First”, meaning “servant of Allah”, as Awwal is one of the names of Allah."
Abdul Azim,عَبْدُ العَظِيْم,N/A,"Abdul Azim is an indirect Quranic name for boys that means “servant of the Majestic One/the Almighty”, meaning “servant of Allah”, as Azim is one of the names of Allah."
Abdul Aziz,عَبْدُ العَزِيْز,N/A,"Abdul Aziz is an indirect Quranic name for boys that means “servant of the Mighty One”, meaning “servant of Allah”, as Aziz is one of the names of Allah."
Abdul Baatin,عَبْدُ البَاطِن,N/A,"Abdul Baatin is an indirect Quranic name for boys that means “servant of the Inward One”, which means “servant of Allah” as al-Baatin is one of the names of Allah in Islam."
Abdul Baseer,عَبْدُ البَصِيْر,N/A,"Abdul Baseer is an indirect Quranic name for boys that means “servant of the All-Seeing One”, meaning “servant of Allah”, as Baseer is one of the names of Allah."
Abdul Basit,عَبْدُ البَاسِط,N/A,"Abdul Basit is an indirect Quranic name for boys that means “servant of the Extender”, meaning “servant of Allah”, as Basit is one of the names of Allah that means “the One who extends His hand in generosity and gives all”."
